MSR_INDEX	NAME	DESCRIPTION	COUNTER_TYPE	EVENT_SCOPE	MAX_COUNTER
0x19C	IA32_THERM_STATUS	TBD	STATIC	THREAD	0xffffffffLL
0x1A2	IA32_TEMPERATURE_TARGET	TBD	STATIC	THREAD	0xffffffffLL
0x660	CORE_C1_RES	TBD	FREERUN	THREAD	0xffffffffffffffffLL
0x661	MOD_C2PUP_RES	TBD	FREERUN	MODULE	0xffffffffffffffffLL
0x662	MOD_C4_RES	TBD	FREERUN	MODULE	0xffffffffffffffffLL
0x663	MOD_MC6C_RES	TBD	FREERUN	MODULE	0xffffffffffffffffLL
0x664	MOD_MC6_RES	TBD	FREERUN	MODULE	0xffffffffffffffffLL
0x665	MOD_SPARE_RES	TBD	FREERUN	MODULE	0xffffffffffffffffLL
0x60D	PKG_C2PUP_RES	TBD	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3F8	PKG_C4_RES	TBD	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3FA	PKG_C6_RES	TBD	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3F9	PKG_C6C_RES	TBD	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3FC	CORE_C4_RES	TBD	FREERUN	THREAD	0xffffffffffffffffLL
0x3FD	CORE_C6_RES	TBD	FREERUN	THREAD	0xffffffffffffffffLL
0x1B0	IA32_ENERGY_PERF_BIAS	TBD	STATIC	THREAD	0xfLL
0x198	IA32_PERF_STATUS	TBD	STATIC	THREAD	0xffffLL
0x639	PP1_ENERGY_STATUS	TBD	FREERUN	PACKAGE	0xffffffffLL
0x611	PKG_ENERGY_STATUS	TBD	FREERUN	PACKAGE	0xffffffffLL
