MSR_INDEX	NAME	DESCRIPTION	COUNTER_TYPE	EVENT_SCOPE	MAX_COUNTER
0x1B0	STATIC_CORE_ENERGY_PERF_BIAS	IA32_ENERGY_PERF_BIAS	STATIC	THREAD	0xf
0x198	STATIC_CORE_PERF_STATUS	IA32_PERF_STATUS	STATIC	THREAD	0xffff
0x19C	STATIC_CORE_THERMAL_STATUS	IA32_THERM_STATUS	STATIC	THREAD	0xffffffff
0x1A2	STATIC_TEMPERATURE_TARGET	IA32_TEMPERATURE_TARGET	STATIC	THREAD	0xffffffff
0x614	STATIC_PKG_POWER_UNIT	PCU_CR_PACKAGE_POWER_SKU	STATIC	PACKAGE	0x7fffffffffffff
0x606	STATIC_PKG_POWER_SKU_UNIT	PCU_CR_PACKAGE_POWER_SKU_UNIT	STATIC	PACKAGE	0xfffff
0x621	STATIC_PKG_UNCORE_PERF_STATUS	PCU_CR_UNCORE_PERF_STATUS	STATIC	PACKAGE	0xffffffffffffffff
0x61d	FREERUN_PKG_LLC_FLUSHED_RESIDENCY	PCU_CR_LLC_FLUSHED_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x60D	FREERUN_PKG_C2_RESIDENCY	PCU_CR_PC2_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3F8	FREERUN_PKG_C3_RESIDENCY	PCU_CR_PC3_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3FA	FREERUN_PKG_C7_RESIDENCY	PCU_CR_PC7_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3F9	FREERUN_PKG_C6_RESIDENCY	PCU_CR_PC6_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x611	FREERUN_PKG_ENERGY_STATUS	PCU_CR_PACKAGE_ENERGY_STATUS	FREERUN	PACKAGE	0xffffffff
0x639	FREERUN_CORE_ENERGY_STATUS	PCU_CR_PRIMARY_PLANE_ENERGY_STATUS	FREERUN	PACKAGE	0xffffffff
0x619	FREERUN_DRAM_ENERGY_STATUS	PCU_CR_DRAM_ENERGY_STATUS	FREERUN	PACKAGE	0xffffffff
0x3FE	FREERUN_CORE_C7_RESIDENCY	CORE_C7_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x3FC	FREERUN_CORE_C3_RESIDENCY	CORE_C3_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x3FD	FREERUN_CORE_C6_RESIDENCY	CORE_C6_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x199	STATIC_CORE_PERF_CTL	IA32_PERF_CTL	STATIC	THREAD	0x1ffffffff
0x774	STATIC_CORE_HWP_REQUEST	IA32_HWP_REQUEST	STATIC	THREAD	0x7ffffffffff
0x771	STATIC_CORE_HWP_CAPABILITIES	IA32_HWP_CAPABILITIES	STATIC	THREAD	0xffffffff
