# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.09
# 3/28/2020 1:07:15 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
CHA	0x00	0x00	0x00	0x00	0x00	UNC_C_CLOCKTICKS	This event is deprecated. Refer to new event UNC_CHA_CLOCKTICKS	0,1,2,3	0x53	na	0	0	0x01
CHA	0x00	0x00	0x00	0x00	0x00	UNC_CHA_CLOCKTICKS	Clockticks of the uncore caching & home agent (CHA)	0,1,2,3	0x53	na	0	0	0x00
CHA	0x11	0x01	0x00	0x00	0x00	UNC_CHA_RxC_OCCUPANCY.IRQ	Ingress (from CMS) Occupancy; IRQ	0	0x53	na	0	0	0x00
CHA	0x11	0x1	0x00	0x00	0x00	UNC_H_RxC_OCCUPANCY.IRQ	This event is deprecated. Refer to new event UNC_CHA_RxC_OCCUPANCY.IRQ	0	0x53	na	0	0	0x01
CHA	0x13	0x01	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.IRQ	Ingress (from CMS) Allocations; IRQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x1	0x00	0x00	0x00	UNC_H_RxC_INSERTS.IRQ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.IRQ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x80	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.PA_MATCH	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.PA_MATCH	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x80	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.PA_MATCH	Ingress (from CMS) Request Queue Rejects; PhyAddr Match	0,1,2,3	0x53	na	0	0	0x00
CHA	0x33	0x42	0x00	0x00	0x00	UNC_H_CORE_SNP.CORE_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.CORE_GTONE	0,1,2,3	0x53	na	0	0	0x01
CHA	0x33	0x42	0x00	0x00	0x00	UNC_CHA_CORE_SNP.CORE_GTONE	Core Cross Snoops Issued; Multiple Core Requests	0,1,2,3	0x53	na	0	0	0x00
CHA	0x33	0x82	0x00	0x00	0x00	UNC_H_CORE_SNP.EVICT_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EVICT_GTONE	0,1,2,3	0x53	na	0	0	0x01
CHA	0x33	0x82	0x00	0x00	0x00	UNC_CHA_CORE_SNP.EVICT_GTONE	Core Cross Snoops Issued; Multiple Eviction	0,1,2,3	0x53	na	0	0	0x00
CHA	0x34	0x3	0x00	0x00	0x00	UNC_C_LLC_LOOKUP.DATA_READ	This event is deprecated. Refer to new event UNC_CHA_LLC_LOOKUP.DATA_READ	0,1,2,3	0x53	CHAFilter0[26:17]	0	0	0x03
CHA	0x34	0x9	0x00	0x00	0x00	UNC_C_LLC_LOOKUP.REMOTE_SNOOP	This event is deprecated. Refer to new event UNC_CHA_LLC_LOOKUP.REMOTE_SNOOP	0,1,2,3	0x53	CHAFilter0[26:17]	0	0	0x03
CHA	0x35	0x11	0x00	0x00	0x00	UNC_C_TOR_INSERTS.IRQ_HIT	This event is deprecated. Refer to new event UNC_CHA_TOR_INSERTS.IA_HIT	0,1,2,3	0x53	CHAFilter1[31:0]	0	0	0x03
CHA	0x35	0x11	0x00	0x00	0x00	UNC_CHA_TOR_INSERTS.IA_HIT	TOR Inserts; Hits from Local iA	0,1,2,3	0x53	CHAFilter1[31:0]	0	0	0x02
CHA	0x35	0x11	0x00	0x00	0x00	UNC_CHA_TOR_INSERTS.IA_HIT_DRD	tbd	0,1,2,3	0x53	Filter1	0	0x40433	0x00
