# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.09
# 3/28/2020 1:07:14 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
CODE	UMASK	NAME	DESCRIPTION	COUNTER	COUNTER_HT_OFF	OVERFLOW	MSR_INDEX	MSR_VALUE	PRECISE_EVENT	TAKEN_ALONE	SAV_LOWER_LIMIT	OTHER	LATENCY	DEFAULT	EM_TRIGGER	DATA_LA	L1_HIT_INDICATION	OFFCORE_EVENT	BRANCH_EVT	PRECISE_FE	EVENT_STATUS
0x00	0x01	INST_RETIRED.ANY	Instructions retired from execution.	32	32	2000003	0	0	0	0	5	0x53	0	1	1	0	0	0	0	0	0x00
0x00	0x02	CPU_CLK_UNHALTED.THREAD	Core cycles when the thread is not in halt state	33	33	2000003	0	0	0	0	5	0x53	0	1	1	0	0	0	0	0	0x00
0x00	0x02	CPU_CLK_UNHALTED.THREAD_ANY	Core cycles when at least one thread on the physical core is not in halt state.	33	33	2000003	0	0	0	0	5	0x73	0	0	1	0	0	0	0	0	0x00
0x00	0x03	CPU_CLK_UNHALTED.REF_TSC	Reference cycles when the core is not in halt state.	34	34	2000003	0	0	0	0	5	0x53	0	1	2	0	0	0	0	0	0x00
0x03	0x02	LD_BLOCKS.STORE_FORWARD	Loads blocked due to overlapping with a preceding store that cannot be forwarded.	0,1,2,3	0,1,2,3,4,5,6,7	100003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x03	0x08	LD_BLOCKS.NO_SR	The number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use	0,1,2,3	0,1,2,3,4,5,6,7	100003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x07	0x01	LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	False dependencies in MOB due to partial compare on address.	0,1,2,3	0,1,2,3,4,5,6,7	100003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x01	DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK	Load misses in all DTLB levels that cause page walks	0,1,2,3	0,1,2,3,4,5,6,7	100003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x02	DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Page walk completed due to a demand data load to a 4K page	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x04	DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Page walk completed due to a demand data load to a 2M/4M page	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x08	DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Page walk completed due to a demand data load to a 1G page	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x0E	DTLB_LOAD_MISSES.WALK_COMPLETED	Load miss in all TLB levels causes a page walk that completes. (All page sizes)	0,1,2,3	0,1,2,3,4,5,6,7	100003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x10	DTLB_LOAD_MISSES.WALK_PENDING	Counts 1 per cycle for each PMH that is busy with a page walk for a load. EPT page walk duration are excluded in Skylake.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x08	0x10	DTLB_LOAD_MISSES.WALK_ACTIVE	Cycles when at least one PMH is busy with a page walk for a load. EPT page walk duration are excluded in Skylake.	0,1,2,3	0,1,2,3,4,5,6,7	100003	0x00	0x00	0	0	5	0x153	0	0	0	0	0	0	0	0	0x00
0x08	0x20	DTLB_LOAD_MISSES.STLB_HIT	Loads that miss the DTLB and hit the STLB.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x0D	0x01	INT_MISC.RECOVERY_CYCLES	Core cycles the allocator was stalled due to recovery from earlier clear event for this thread (e.g. misprediction or memory nuke)	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x0D	0x01	INT_MISC.RECOVERY_CYCLES_ANY	Core cycles the allocator was stalled due to recovery from earlier clear event for any thread running on the physical core (e.g. misprediction or memory nuke).	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x73	0	0	0	0	0	0	0	0	0x00
0x0D	0x80	INT_MISC.CLEAR_RESTEER_CYCLES	Cycles the issue-stage is waiting for front-end to fetch from resteered path following branch misprediction or machine clear events.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x0E	0x01	UOPS_ISSUED.STALL_CYCLES	Cycles when Resource Allocation Table (RAT) does not issue Uops to Reservation Station (RS) for the thread	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x1D3	0	0	0	0	0	0	0	0	0x00
0x0E	0x01	UOPS_ISSUED.ANY	Uops that Resource Allocation Table (RAT) issues to Reservation Station (RS)	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x0E	0x02	UOPS_ISSUED.VECTOR_WIDTH_MISMATCH	Uops inserted at issue-stage in order to preserve upper bits of vector registers.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0x00	0x00	0	0	5	0x53	0	0	0	0	0	0	0	0	0x00
0x0E	0x20	UOPS_ISSUED.SLOW_LEA	Number of slow LEA uops being allocated. A uop is generally considered SlowLea if it has 3 sources (e.g. 2 sources + immediate) regardless if as a result of LEA instruction or not.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x14	0x01	ARITH.DIVIDER_ACTIVE	Cycles when divide unit is busy executing divide or square root operations. Accounts for integer and floating-point operations.	0,1,2,3	0,1,2,3,4,5,6,7	2000003	0	0	0	0	0	0x153	0	0	0	0	0	0	0	0	0x00
0x24	0x21	L2_RQSTS.DEMAND_DATA_RD_MISS	Demand Data Read miss L2, no rejects	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0x22	L2_RQSTS.RFO_MISS	RFO requests that miss L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0x24	L2_RQSTS.CODE_RD_MISS	L2 cache misses when fetching instructions	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0x27	L2_RQSTS.ALL_DEMAND_MISS	Demand requests that miss L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0x38	L2_RQSTS.PF_MISS	Requests from the L1/L2/L3 hardware prefetchers or Load software prefetches that miss L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0x3F	L2_RQSTS.MISS	All requests that miss L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0xc1	L2_RQSTS.DEMAND_DATA_RD_HIT	Demand Data Read requests that hit L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0xc2	L2_RQSTS.RFO_HIT	RFO requests that hit L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0xc4	L2_RQSTS.CODE_RD_HIT	L2 cache hits when fetching instructions, code reads.	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
0x24	0xd8	L2_RQSTS.PF_HIT	Requests from the L1/L2/L3 hardware prefetchers or Load software prefetches that hit L2 cache	0,1,2,3	0,1,2,3,4,5,6,7	200003	0	0	0	0	0	0x53	0	0	0	0	0	0	0	0	0x00
