# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.09
# 3/28/2020 1:07:15 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
IRP	0x1	0x0	0x00	0x00	0x00	UNC_I_CLOCKTICKS	IRP Clocks	0,1	0x53	na	0	0	0x00
IRP	0x10	0x1	0x00	0x00	0x00	UNC_I_COHERENT_OPS.PCIRDCUR	Coherent Ops; PCIRdCur	0,1	0x53	na	0	0	0x00
IRP	0x10	0x10	0x00	0x00	0x00	UNC_I_COHERENT_OPS.PCITOM	Coherent Ops; PCIItoM	0,1	0x53	na	0	0	0x00
IRP	0x10	0x2	0x00	0x00	0x00	UNC_I_COHERENT_OPS.CRD	Coherent Ops; CRd	0,1	0x53	na	0	0	0x00
IRP	0x10	0x20	0x00	0x00	0x00	UNC_I_COHERENT_OPS.PCIDCAHINT	Coherent Ops; PCIDCAHin5t	0,1	0x53	na	0	0	0x00
IRP	0x10	0x4	0x00	0x00	0x00	UNC_I_COHERENT_OPS.DRD	Coherent Ops; DRd	0,1	0x53	na	0	0	0x00
IRP	0x10	0x40	0x00	0x00	0x00	UNC_I_COHERENT_OPS.WBMTOI	Coherent Ops; WbMtoI	0,1	0x53	na	0	0	0x00
IRP	0x10	0x8	0x00	0x00	0x00	UNC_I_COHERENT_OPS.RFO	Coherent Ops; RFO	0,1	0x53	na	0	0	0x00
IRP	0x10	0x80	0x00	0x00	0x00	UNC_I_COHERENT_OPS.CLFLUSH	Coherent Ops; CLFlush	0,1	0x53	na	0	0	0x00
IRP	0x11	0x1	0x00	0x00	0x00	UNC_I_TRANSACTIONS.READS	Inbound Transaction Count; Reads	0,1	0x53	na	0	0	0x00
IRP	0x11	0x10	0x00	0x00	0x00	UNC_I_TRANSACTIONS.ATOMIC	Inbound Transaction Count; Atomic	0,1	0x53	na	0	0	0x00
IRP	0x11	0x2	0x00	0x00	0x00	UNC_I_TRANSACTIONS.WRITES	Inbound Transaction Count; Writes	0,1	0x53	na	0	0	0x00
IRP	0x11	0x20	0x00	0x00	0x00	UNC_I_TRANSACTIONS.OTHER	Inbound Transaction Count; Other	0,1	0x53	na	0	0	0x00
IRP	0x11	0x4	0x00	0x00	0x00	UNC_I_TRANSACTIONS.RD_PREF	Inbound Transaction Count; Read Prefetches	0,1	0x53	na	0	0	0x00
IRP	0x11	0x8	0x00	0x00	0x00	UNC_I_TRANSACTIONS.WR_PREF	Inbound Transaction Count; Write Prefetches	0,1	0x53	na	0	0	0x00
IRP	0x12	0x1	0x00	0x00	0x00	UNC_I_SNOOP_RESP.MISS	Snoop Responses; Miss	0,1	0x53	na	0	0	0x00
IRP	0x12	0x10	0x00	0x00	0x00	UNC_I_SNOOP_RESP.SNPCODE	Snoop Responses; SnpCode	0,1	0x53	na	0	0	0x00
IRP	0x12	0x2	0x00	0x00	0x00	UNC_I_SNOOP_RESP.HIT_I	Snoop Responses; Hit I	0,1	0x53	na	0	0	0x00
IRP	0x12	0x20	0x00	0x00	0x00	UNC_I_SNOOP_RESP.SNPDATA	Snoop Responses; SnpData	0,1	0x53	na	0	0	0x00
IRP	0x12	0x4	0x00	0x00	0x00	UNC_I_SNOOP_RESP.HIT_ES	Snoop Responses; Hit E or S	0,1	0x53	na	0	0	0x00
IRP	0x12	0x40	0x00	0x00	0x00	UNC_I_SNOOP_RESP.SNPINV	Snoop Responses; SnpInv	0,1	0x53	na	0	0	0x00
