# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.09
# 3/28/2020 1:07:15 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
M2M	0x0	0x0	0x00	0x00	0x00	UNC_M2M_CLOCKTICKS	Cycles - at UCLK	0,1,2,3	0x53	na	0	0	0x00
M2M	0x10	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_NO_CREDIT_STALLED	Cycles Stalled with No AD Egress (to CMS) Credits	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x01	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.CMS0	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_INSERTS.CMS0	0,1,2,3	0x53	na	0	0	0x01
M2M	0x11	0x01	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.CMS0	AK Egress (to CMS) Allocations; Common Mesh Stop - Near Side	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x02	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.CMS1	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_INSERTS.CMS1	0,1,2,3	0x53	na	0	0	0x01
M2M	0x11	0x02	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.CMS1	AK Egress (to CMS) Allocations; Common Mesh Stop - Far Side	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x03	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.ALL	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_INSERTS.ALL	0,1,2,3	0x53	na	0	0	0x01
M2M	0x11	0x03	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.ALL	AK Egress (to CMS) Allocations; All	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x08	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.RDCRD	AK Egress (to CMS) Allocations; Read Credit Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x10	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.WRCRD	AK Egress (to CMS) Allocations; Write Credit Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x20	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.WRCMP	AK Egress (to CMS) Allocations; Write Compare Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x11	0x40	0x00	0x00	0x00	UNC_M2M_TxC_AK_INSERTS.PREF_RD_CAM_HIT	AK Egress (to CMS) Allocations; Prefetch Read Cam Hit	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x01	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.CMS0	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_OCCUPANCY.CMS0	0,1,2,3	0x53	na	0	0	0x01
M2M	0x12	0x01	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.CMS0	AK Egress (to CMS) Occupancy; Common Mesh Stop - Near Side	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x02	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.CMS1	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_OCCUPANCY.CMS1	0,1,2,3	0x53	na	0	0	0x01
M2M	0x12	0x02	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.CMS1	AK Egress (to CMS) Occupancy; Common Mesh Stop - Far Side	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x03	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.ALL	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_OCCUPANCY.ALL	0,1,2,3	0x53	na	0	0	0x01
M2M	0x12	0x03	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.ALL	AK Egress (to CMS) Occupancy; All	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x08	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.RDCRD	AK Egress (to CMS) Occupancy; Read Credit Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x10	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.WRCRD	AK Egress (to CMS) Occupancy; Write Credit Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x12	0x20	0x00	0x00	0x00	UNC_M2M_TxC_AK_OCCUPANCY.WRCMP	AK Egress (to CMS) Occupancy; Write Compare Request	0,1,2,3	0x53	na	0	0	0x00
M2M	0x13	0x01	0x00	0x00	0x00	UNC_M2M_TxC_AK_CYCLES_NE.CMS0	This event is deprecated. Refer to new event UNC_M2M_TxC_AK_CYCLES_NE.CMS0	0,1,2,3	0x53	na	0	0	0x01
