HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	DEFAULT	CALIBRATION	PRECISE_EVENT	EM TRIGGER
770	0x03	0x02	0x53	0x805009	0	0,1	LOAD_BLOCK.STA	Loads blocked by a preceding store with unknown address.	pmm.chm	200000	0	0	1	0	0
772	0x03	0x04	0x53	0x805001	0	0,1	LOAD_BLOCK.STD	Loads blocked by a preceding store with unknown data.	pmm.chm	100000	0	0	1	0	0
776	0x03	0x08	0x53	0x805009	0	0,1	LOAD_BLOCK.OVERLAP_STORE	Loads that partially overlap an earlier store, or 4K aliased with a previous store.	pmm.chm	100000	0	0	1	0	0
784	0x03	0x10	0x53	0x801001	0	0,1	LOAD_BLOCK.UNTIL_RETIRE	Loads blocked until retirement.	pmm.chm	100000	0	0	1	0	0
800	0x03	0x20	0x53	0x801009	0	0,1	LOAD_BLOCK.L1D	Loads blocked by the L1 data cache.	pmm.chm	100000	0	0	1	0	0
1025	0x04	0x01	0x53	0x811001	0	0,1	SB_DRAIN_CYCLES	Cycles while stores are blocked due to store buffer drain.	pmm.chm	1000000	0	0	1	0	0
1026	0x04	0x02	0x53	0x80100D	0	0,1	STORE_BLOCK.ORDER	Cycles while store is waiting for a preceding store to be globally observed.	pmm.chm	1000000	0	0	1	0	0
1032	0x04	0x08	0x53	0x80100D	0	0,1	STORE_BLOCK.SNOOP	A store is blocked due to a conflict with an external or internal snoop.	pmm.chm	1000000	0	0	1	0	0
1536	0x06	0x00	0x53	0x1001	0	0,1	SEGMENT_REG_LOADS	Number of segment register loads.	pmm.chm	5000	0	0	1	0	0
1792	0x07	0x00	0x53	0x80409	0	0,1	SSE_PRE_EXEC.NTA	Streaming SIMD Extensions (SSE) Prefetch NTA instructions executed.	pmm.chm	100000	0	0	1	0	0
1793	0x07	0x01	0x53	0x80409	0	0,1	SSE_PRE_EXEC.L1	Streaming SIMD Extensions (SSE) PrefetchT0 instructions executed.	pmm.chm	100000	0	0	1	0	0
1794	0x07	0x02	0x53	0x80409	0	0,1	SSE_PRE_EXEC.L2	Streaming SIMD Extensions (SSE) PrefetchT1 and PrefetchT2 instructions executed.	pmm.chm	100000	0	0	1	0	0
1795	0x07	0x03	0x53	0x80401	0	0,1	SSE_PRE_EXEC.STORES	Streaming SIMD Extensions (SSE) Weakly-ordered store instructions executed.	pmm.chm	100000	0	0	1	0	0
2049	0x08	0x01	0x53	0x9009	0	0,1	DTLB_MISSES.ANY	Memory accesses that missed the DTLB.	pmm.chm	10000	0	0	1	0	0
2050	0x08	0x02	0x53	0x9009	0	0,1	DTLB_MISSES.MISS_LD	DTLB misses due to load operations.	pmm.chm	10000	0	0	1	0	0
2052	0x08	0x04	0x53	0x9009	0	0,1	DTLB_MISSES.L0_MISS_LD	L0 DTLB misses due to load operations.	pmm.chm	50000	0	0	1	0	0
2056	0x08	0x08	0x53	0x9009	0	0,1	DTLB_MISSES.MISS_ST	DTLB misses due to store operations.	pmm.chm	10000	0	0	1	0	0
2305	0x09	0x01	0x53	0x5001	0	0,1	MEMORY_DISAMBIGUATION.RESET	Memory disambiguation reset cycles.	pmm.chm	10000	0	0	1	0	0
