HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x10001	0x14	0x1	0x53	0x8	0	0,1,2,3	ARITH.CYCLES_DIV_BUSY	Cycles the divider is busy	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10001	0x14	0x1	0x1D7	0x8	0	0,1,2,3	ARITH.DIV	Divide Operations executed	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10001	0x14	0x2	0x53	0x8	0	0,1,2,3	ARITH.MUL	Multiply operations executed	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10002	0xE6	0x2	0x53	0x2	0	0,1,2,3	BACLEAR.BAD_TARGET	BACLEAR asserted with bad target address	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10002	0xE6	0x1	0x53	0x2	0	0,1,2,3	BACLEAR.CLEAR	BACLEAR asserted, regardless of cause 	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10003	0xA7	0x1	0x53	0x2	0	0,1,2,3	BACLEAR_FORCE_IQ	Instruction queue forced BACLEAR	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10005	0xE8	0x1	0x53	0x2	0	0,1,2,3	BPU_CLEARS.EARLY	Early Branch Prediciton Unit clears	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10005	0xE8	0x2	0x53	0x2	0	0,1,2,3	BPU_CLEARS.LATE	Late Branch Prediction Unit clears	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10006	0xE5	0x1	0x53	0x2	0	0,1,2,3	BPU_MISSED_CALL_RET	Branch prediction unit missed call or return	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1000B	0xE0	0x1	0x53	0x2	0	0,1,2,3	BR_INST_DECODED	Branch instructions decoded	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x7F	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.ANY	Branch instructions executed	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x1	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.COND	Conditional branch instructions executed	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x2	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.DIRECT	Unconditional branches executed	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x10	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.DIRECT_NEAR_CALL	Unconditional call branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x20	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.INDIRECT_NEAR_CALL	Indirect call branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x4	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.INDIRECT_NON_CALL	Indirect non call branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x30	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.NEAR_CALLS	Call branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x7	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.NON_CALLS	All non call branches executed	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x8	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.RETURN_NEAR	Indirect return branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x40	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.TAKEN	Taken branches executed	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000D	0xC4	0x4	0x53	0x20	0	0,1,2,3	BR_INST_RETIRED.ALL_BRANCHES	Retired branch instructions (Precise Event)	pmn.chm	200000	0	1	0	0	0	0	0	0	0	0	0
0x1000D	0xC4	0x1	0x53	0x20	0	0,1,2,3	BR_INST_RETIRED.CONDITIONAL	Retired conditional branch instructions (Precise Event)	pmn.chm	200000	0	1	0	0	0	0	0	0	0	0	0
0x1000D	0xC4	0x2	0x53	0x20	0	0,1,2,3	BR_INST_RETIRED.NEAR_CALL	Retired near call instructions (Precise Event)	pmn.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1000D	0xC4	0x2	0x51	0x20	0	0,1,2,3	BR_INST_RETIRED.NEAR_CALL_R3	Retired near call instructions Ring 3 only(Precise Event)	pmn.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x7F	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.ANY	Mispredicted branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x1	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.COND	Mispredicted conditional branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x2	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.DIRECT	Mispredicted unconditional branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x10	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.DIRECT_NEAR_CALL	Mispredicted non call branches executed	pmn.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x20	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.INDIRECT_NEAR_CALL	Mispredicted indirect call branches executed	pmn.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x4	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.INDIRECT_NON_CALL	Mispredicted indirect non call branches executed	pmn.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x30	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.NEAR_CALLS	Mispredicted call branches executed	pmn.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x7	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.NON_CALLS	Mispredicted non call branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x8	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.RETURN_NEAR	Mispredicted return branches executed	pmn.chm	2000	0	0	0	0	0	0	0	0	0	0	0
0x1000E	0x89	0x40	0x53	0x2	0	0,1,2,3	BR_MISP_EXEC.TAKEN	Mispredicted taken branches executed	pmn.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000F	0xC5	0x2	0x53	0x20	0	0,1,2,3	BR_MISP_RETIRED.NEAR_CALL	Mispredicted near retired calls (Precise Event)	pmn.chm	2000	0	1	0	0	0	0	0	0	0	0	0
0x10010	0x63	0x2	0x53	0x40	0	0,1	CACHE_LOCK_CYCLES.L1D	Cycles L1D locked	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10010	0x63	0x1	0x53	0x40	0	0,1	CACHE_LOCK_CYCLES.L1D_L2	Cycles L1D and L2 locked	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10012	0x0	0x0	0x53	0x400	0	34	CPU_CLK_UNHALTED.REF	Reference cycles when thread is not halted (fixed counter)	pmn.chm	2000000	5	0	0	0	0	0	1	0	0	0	2
0x10013	0x3C	0x1	0x53	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.REF_P	Reference base clock (133 Mhz) cycles when thread is not halted (programmable counter)	pmn.chm	100000	5	0	0	0	0	0	0	0	0	0	0
0x10014	0x0	0x0	0x53	0x400	0	33	CPU_CLK_UNHALTED.THREAD	Cycles when thread is not halted (fixed counter)	pmn.chm	2000000	5	0	0	0	0	0	1	0	0	0	1
0x10015	0x3C	0x0	0x53	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.THREAD_P	Cycles when thread is not halted (programmable counter)	pmn.chm	2000000	5	0	0	0	0	0	0	0	0	0	0
0x10015	0x3C	0x0	0x2D3	0x400	0	0,1,2,3	CPU_CLK_UNHALTED.TOTAL_CYCLES	Total CPU cycles	pmn.chm	2000000	5	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x1	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.ANY	DTLB load misses	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x20	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.PDE_MISS	DTLB load miss caused by low part of address	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x10	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.STLB_HIT	DTLB second level hit	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10017	0x8	0x2	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.WALK_COMPLETED	DTLB load miss page walks complete	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x1	0x53	0x100	0	0,1,2,3	DTLB_MISSES.ANY	DTLB misses	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x10	0x53	0x100	0	0,1,2,3	DTLB_MISSES.STLB_HIT	DTLB first level misses but second level hit	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x2	0x53	0x100	0	0,1,2,3	DTLB_MISSES.WALK_COMPLETED	DTLB miss page walks	pmn.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1001A	0xD5	0x1	0x53	0x4	0	0,1,2,3	ES_REG_RENAMES	ES segment renames	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x1	0x53	0x20	0	0,1,2,3	FP_ASSIST.ALL	X87 Floating point assists (Precise Event)	pmn.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x4	0x53	0x20	0	0,1,2,3	FP_ASSIST.INPUT	X87 Floating poiint assists for invalid input value (Precise Event)	pmn.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x2	0x53	0x20	0	0,1,2,3	FP_ASSIST.OUTPUT	X87 Floating point assists for invalid output value (Precise Event)	pmn.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x2	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.MMX	MMX Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x80	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_DOUBLE_PRECISION	SSE* FP double precision Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x4	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP	SSE and SSE2 FP Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x10	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP_PACKED	SSE FP packed Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x20	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP_SCALAR	SSE FP scalar Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x40	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_SINGLE_PRECISION	SSE* FP single precision Uops	pmn.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
