HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x10001	0x14	0x1	0x53	0x8	0	0,1,2,3	ARITH.CYCLES_DIV_BUSY	Cycles the divider is busy	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10001	0x14	0x1	0x1D7	0x8	0	0,1,2,3	ARITH.DIV	Divide Operations executed	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10001	0x14	0x2	0x53	0x8	0	0,1,2,3	ARITH.MUL	Multiply operations executed	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10002	0xE6	0x2	0x53	0x2	0	0,1,2,3	BACLEAR.BAD_TARGET	BACLEAR asserted with bad target address	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10002	0xE6	0x1	0x53	0x2	0	0,1,2,3	BACLEAR.CLEAR	BACLEAR asserted, regardless of cause 	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10003	0xA7	0x1	0x53	0x2	0	0,1,2,3	BACLEAR_FORCE_IQ	Instruction queue forced BACLEAR	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10005	0xE8	0x1	0x53	0x2	0	0,1,2,3	BPU_CLEARS.EARLY	Early Branch Prediciton Unit clears	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10005	0xE8	0x2	0x53	0x2	0	0,1,2,3	BPU_CLEARS.LATE	Late Branch Prediction Unit clears	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10006	0xE5	0x1	0x53	0x2	0	0,1,2,3	BPU_MISSED_CALL_RET	Branch prediction unit missed call or return	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1000B	0xE0	0x1	0x53	0x2	0	0,1,2,3	BR_INST_DECODED	Branch instructions decoded	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x7F	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.ANY	Branch instructions executed	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x1	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.COND	Conditional branch instructions executed	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x2	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.DIRECT	Unconditional branches executed	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x10	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.DIRECT_NEAR_CALL	Unconditional call branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x20	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.INDIRECT_NEAR_CALL	Indirect call branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x4	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.INDIRECT_NON_CALL	Indirect non call branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x30	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.NEAR_CALLS	Call branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x7	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.NON_CALLS	All non call branches executed	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x8	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.RETURN_NEAR	Indirect return branches executed	pmw_sp.chm	20000	0	0	0	0	0	0	0	0	0	0	0
0x1000C	0x88	0x40	0x53	0x2	0	0,1,2,3	BR_INST_EXEC.TAKEN	Taken branches executed	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x1000D	0xC4	0x4	0x53	0x20	0	0,1,2,3	BR_INST_RETIRED.ALL_BRANCHES	Retired branch instructions (Precise Event)	pmw_sp.chm	200000	0	1	0	0	0	0	0	0	0	0	0
