MSR_INDEX	NAME	DESCRIPTION	COUNTER_TYPE	EVENT_SCOPE	MAX_COUNTER
0x611	UNC_PKG_ENERGY_STATUS	Running counter of package energy	FREERUN	PACKAGE	0xffffffff
0x639	UNC_PP0_ENERGY_STATUS	Running counter of IA core energy	FREERUN	PACKAGE	0xffffffff
0x641	UNC_PP1_ENERGY_STATUS	Running counter of GT core energy	FREERUN	PACKAGE	0xffffffff
0x19C	UNC_IA32_THERM_STATUS	Thermal Status for Digital thermometer	STATIC	THREAD	0xffffffff
0x1B1	UNC_PACKAGE_THERM_STATUS	Thermal Status for Digital thermometer	STATIC	PACKAGE	0x7fffff
0x60D	FREERUN_PKG_C2_RESIDENCY	PCU_CR_PC2_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3F8	FREERUN_PKG_C3_RESIDENCY	PCU_CR_PC3_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3F9	FREERUN_PKG_C6_RESIDENCY	PCU_CR_PC6_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3FA	FREERUN_PKG_C7_RESIDENCY	PCU_CR_PC7_RCNTR	FREERUN	PACKAGE	0xffffffffffffffff
0x3FC	FREERUN_CORE_C3_RESIDENCY	CORE_C3_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x3FD	FREERUN_CORE_C6_RESIDENCY	CORE_C6_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x3FE	FREERUN_CORE_C7_RESIDENCY	CORE_C7_RESIDENCY	FREERUN	THREAD	0xffffffffffffffff
0x619	UNC_DRAM_ENERGY_STATUS	PCU_CR_DRAM_ENERGY_STATUS	FREERUN	PACKAGE	0xffffffff
