MSR_INDEX	NAME	DESCRIPTION	COUNTER_TYPE	EVENT_SCOPE	MAX_COUNTER
0x611	UNC_PACKAGE_ENERGY_STATUS	Running counter of package energy	FREERUN	PACKAGE	0xffffffffLL
0x619	UNC_DDR_ENERGY_STATUS	Running counter of DDR energy	STATIC	PACKAGE	0xffffffffLL
0x639	UNC_PRIMARY_PLANE_ENERGY_STATUS	Running counter of IA core energy	FREERUN	PACKAGE	0xffffffffLL
0x641	UNC_SECONDARY_PLANE_ENERGY_STATUS	Running counter of GT core energy	STATIC	PACKAGE	0xffffffffLL
0x19C	UNC_IA32_THERM_STATUS	Thermal Status for Digital thermometer	FREERUN	THREAD	0xffffffffLL
0x1B1	UNC_PACKAGE_THERM_STATUS	Thermal Status for Digital thermometer	STATIC	PACKAGE	0x7fffffLL
0x60D	FREERUN_PKG_C2_RESIDENCY	PCU_CR_PC2_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3F8	FREERUN_PKG_C3_RESIDENCY	PCU_CR_PC3_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3F9	FREERUN_PKG_C6_RESIDENCY	PCU_CR_PC6_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3FA	FREERUN_PKG_C7_RESIDENCY	PCU_CR_PC7_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x630	FREERUN_PKG_C8_RESIDENCY	PCU_CR_PC8_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x631	FREERUN_PKG_C9_RESIDENCY	PCU_CR_PC9_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x632	FREERUN_PKG_C10_RESIDENCY	PCU_CR_PC10_RCNTR	FREERUN	PACKAGE	0xffffffffffffffffLL
0x3FC	FREERUN_CORE_C3_RESIDENCY	CORE_C3_RESIDENCY	FREERUN	THREAD	0xffffffffffffffffLL
0x3FD	FREERUN_CORE_C6_RESIDENCY	CORE_C6_RESIDENCY	FREERUN	THREAD	0xffffffffffffffffLL
0x3FE	FREERUN_CORE_C7_RESIDENCY	CORE_C7_RESIDENCY	FREERUN	THREAD	0xffffffffffffffffLL
