# 32 bit counter start from 0x300
# 64 bit counter start from 0x400
OFFSET	HELP_ID	NAME	DESCRIPTION	HELP_FILE	COUNTER_TYPE	EVENT_SCOPE
0x400	0x10001	UNC_HFI_SEND_DATA_PACKETS	Count of sent packats.	pmn.chm	FREERUN	SYSTEM
0x408	0x10001	UNC_HFI_SEND_DATA_DW	Count of sent data in double words (multiply by 4 for bytes).	pmn.chm	FREERUN	SYSTEM
0x418	0x10001	UNC_HFI_SEND_DATA_CNT_VL0	The total number of fabric packet flits transmitted in VL0 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x420	0x10001	UNC_HFI_SEND_DATA_CNT_VL1	The total number of fabric packet flits transmitted in VL1 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x428	0x10001	UNC_HFI_SEND_DATA_CNT_VL2	The total number of fabric packet flits transmitted in VL2 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x430	0x10001	UNC_HFI_SEND_DATA_CNT_VL3	The total number of fabric packet flits transmitted in VL3 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x438	0x10001	UNC_HFI_SEND_DATA_CNT_VL4	The total number of fabric packet flits transmitted in VL4 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x440	0x10001	UNC_HFI_SEND_DATA_CNT_VL5	The total number of fabric packet flits transmitted in VL5 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x448	0x10001	UNC_HFI_SEND_DATA_CNT_VL6	The total number of fabric packet flits transmitted in VL6 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x450	0x10001	UNC_HFI_SEND_DATA_CNT_VL7	The total number of fabric packet flits transmitted in VL7 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x458	0x10001	UNC_HFI_SEND_DATA_CNT_VL15	The total number of fabric packet flits transmitted in VL15 (multiply by 8 for bytes).	pmn.chm	FREERUN	SYSTEM
0x460	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL0	The total number of fabric packets transmitted in VL0.	pmn.chm	FREERUN	SYSTEM
0x468	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL1	The total number of fabric packets transmitted in VL1.	pmn.chm	FREERUN	SYSTEM
0x470	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL2	The total number of fabric packets transmitted in VL2.	pmn.chm	FREERUN	SYSTEM
0x478	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL3	The total number of fabric packets transmitted in VL3.	pmn.chm	FREERUN	SYSTEM
0x480	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL4	The total number of fabric packets transmitted in VL4.	pmn.chm	FREERUN	SYSTEM
0x488	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL5	The total number of fabric packets transmitted in VL5.	pmn.chm	FREERUN	SYSTEM
0x490	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL6	The total number of fabric packets transmitted in VL6.	pmn.chm	FREERUN	SYSTEM
0x498	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL7	The total number of fabric packets transmitted in VL7.	pmn.chm	FREERUN	SYSTEM
0x4a0	0x10001	UNC_HFI_SEND_DATA_PACKETS_VL15	The total number of fabric packets transmitted in VL15.	pmn.chm	FREERUN	SYSTEM
