# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V21
# 10/3/2018 10:48:35 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
UNIT	CODE	UMASK	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL
R2PCIe	0x1	0x0	UNC_R2_CLOCKTICKS	Counts the number of uclks in the R2PCIe uclk domain.  This could be slightly different than the count in the Ubox because of enable/freeze delays.  However, because the R2PCIe is close to the Ubox, they generally should not diverge by more than a handful of cycles.	0,1,2,3	0x53	na	0
R2PCIe	0x10	0x10	UNC_R2_RxR_CYCLES_NE.NCB	Counts the number of cycles when the R2PCIe Ingress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue	0,1	0x53	na	0
R2PCIe	0x10	0x20	UNC_R2_RxR_CYCLES_NE.NCS	Counts the number of cycles when the R2PCIe Ingress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue occupancy.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue	0,1	0x53	na	0
R2PCIe	0x11	0x10	UNC_R2_RxR_INSERTS.NCB	Counts the number of allocations into the R2PCIe Ingress.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCB Ingress Queue	0,1	0x53	na	0
R2PCIe	0x11	0x20	UNC_R2_RxR_INSERTS.NCS	Counts the number of allocations into the R2PCIe Ingress.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Ingress Occupancy Accumulator event in order to calculate average queue latency.  Multiple ingress buffers can be tracked at a given time using multiple counters.; NCS Ingress Queue	0,1	0x53	na	0
R2PCIe	0x12	0x0	UNC_R2_RxR_AK_BOUNCES	Counts the number of times when a request destined for the AK ingress bounced.	0	0x53	na	0
R2PCIe	0x12	0x1	UNC_R2_RxR_AK_BOUNCES.CW	Counts the number of times when a request destined for the AK ingress bounced.	0	0x53	na	0
R2PCIe	0x12	0x2	UNC_R2_RxR_AK_BOUNCES.CCW	Counts the number of times when a request destined for the AK ingress bounced.	0	0x53	na	0
R2PCIe	0x13	0x8	UNC_R2_RxR_OCCUPANCY.DRS	Accumulates the occupancy of a given R2PCIe Ingress queue in each cycles.  This tracks one of the three ring Ingress buffers.  This can be used with the R2PCIe Ingress Not Empty event to calculate average occupancy or the R2PCIe Ingress Allocations event in order to calculate average queuing latency.; DRS Ingress Queue	0	0x53	na	0
R2PCIe	0x23	0x1	UNC_R2_TxR_CYCLES_NE.AD	Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; AD Egress Queue	0	0x53	na	0
R2PCIe	0x23	0x2	UNC_R2_TxR_CYCLES_NE.AK	Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; AK Egress Queue	0	0x53	na	0
R2PCIe	0x23	0x4	UNC_R2_TxR_CYCLES_NE.BL	Counts the number of cycles when the R2PCIe Egress is not empty.  This tracks one of the three rings that are used by the R2PCIe agent.  This can be used in conjunction with the R2PCIe Egress Occupancy Accumulator event in order to calculate average queue occupancy.  Only a single Egress queue can be tracked at any given time.  It is not possible to filter based on direction or polarity.; BL Egress Queue	0	0x53	na	0
R2PCIe	0x25	0x1	UNC_R2_TxR_CYCLES_FULL.AD	Counts the number of cycles when the R2PCIe Egress buffer is full.; AD Egress Queue	0	0x53	na	0
R2PCIe	0x25	0x2	UNC_R2_TxR_CYCLES_FULL.AK	Counts the number of cycles when the R2PCIe Egress buffer is full.; AK Egress Queue	0	0x53	na	0
R2PCIe	0x25	0x4	UNC_R2_TxR_CYCLES_FULL.BL	Counts the number of cycles when the R2PCIe Egress buffer is full.; BL Egress Queue	0	0x53	na	0
R2PCIe	0x26	0x1	UNC_R2_TxR_NACK_CW.AD	AD Clockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x26	0x2	UNC_R2_TxR_NACK_CW.AK	AK Clockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x26	0x4	UNC_R2_TxR_NACK_CW.BL	BL Clockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x28	0x1	UNC_R2_TxR_NACK_CCW.AD	AD CounterClockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x28	0x2	UNC_R2_TxR_NACK_CCW.AK	AK CounterClockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x28	0x4	UNC_R2_TxR_NACK_CCW.BL	BL CounterClockwise Egress Queue	0,1	0x53	na	0
R2PCIe	0x32	0x10	UNC_R2_IIO_CREDITS_USED.NCB	Counts the number of cycles when one or more credits in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCB message class.	0,1	0x53	na	0
R2PCIe	0x32	0x20	UNC_R2_IIO_CREDITS_USED.NCS	Counts the number of cycles when one or more credits in the R2PCIe agent for sending transactions into the IIO on either NCB or NCS are in use.  Transactions from the BL ring going into the IIO Agent must first acquire a credit.  These credits are for either the NCB or NCS message classes.  NCB, or non-coherent bypass messages are used to transmit data without coherency (and are common).  NCS is used for reads to PCIe (and should be used sparingly).; Credits to the IIO for the NCS message class.	0,1	0x53	na	0
