CODE	UMASK	NAME	COMMON	COUNTER	DESCRIPTION	OTHER	UNIT	TYPE	SCOPE
0x22	0x1	UNC_CBO_XSNP_RESPONSE.MISS	2	"0,1"	A snoop misses in some processor core	0x40	cbox	gen	core
0x22	0x2	UNC_CBO_XSNP_RESPONSE.INVAL	2	"0,1"	A snoop invalidates a non-modified line in some processor core	0x40	cbox	gen	core
0x22	0x4	UNC_CBO_XSNP_RESPONSE.HIT	2	"0,1"	A snoop hits a non-modified line in some processor core	0x40	cbox	gen	core
0x22	0x8	UNC_CBO_XSNP_RESPONSE.HIT_M	2	"0,1"	A snoop hits a modified line in some processor core	0x40	cbox	gen	core
0x22	0x10	UNC_CBO_XSNP_RESPONSE.INVAL_M	2	"0,1"	A snoop invalidates a modified line in some processor core	0x40	cbox	gen	core
0x22	0x20	UNC_CBO_XSNP_RESPONSE.EXTERNAL_FILTER	2	"0,1"	Filter on cross-core snoops initiated by this Cbox due to External snoop request 	0x40	cbox	gen	core
0x22	0x40	UNC_CBO_XSNP_RESPONSE.XCORE_FILTER	2	"0,1"	Filter on cross-core snoops initiated by this Cbox due to processor core memory request	0x40	cbox	gen	core
0x22	0x80	UNC_CBO_XSNP_RESPONSE.EVICTION_FILTER	2	"0,1"	Filter on cross-core snoops initiated by this Cbox due to LLC Evcition	0x40	cbox	gen	core
0x34	0x81	UNC_CBO_CACHE_LOOKUP.M	2	"0,1"	LLC Lookup request that access cache and found line in M-state	0x40	cbox	gen	core
0x34	0x2	UNC_CBO_CACHE_LOOKUP.E	2	"0,1"	LLC Lookup request that access cache and found line in E-state	0x40	cbox	gen	core
0x34	0x4	UNC_CBO_CACHE_LOOKUP.S	2	"0,1"	LLC Lookup request that access cache and found line in S-state	0x40	cbox	gen	core
0x34	0x8	UNC_CBO_CACHE_LOOKUP.I	2	"0,1"	LLC Lookup request that access cache and found line in I-state	0x40	cbox	gen	core
0x34	0x10	UNC_CBO_CACHE_LOOKUP.READ_FILTER	2	"0,1"	Filter on Core initiated cacheable Read requests (DRD include DrdPTE)	0x40	cbox	gen	core
0x34	0x20	UNC_CBO_CACHE_LOOKUP.WRITE_FILTER	2	"0,1"	Filter on Core intiiated Write requests (explicit writeback - Mto*)	0x40	cbox	gen	core
0x34	0x40	UNC_CBO_CACHE_LOOKUP.EXTSNP_FILTER	2	"0,1"	Filter on External Snoop requests	0x40	cbox	gen	core
0x34	0x80	UNC_CBO_CACHE_LOOKUP.ANY_REQUEST_FILTER	2	"0,1"	"Any IRQ or IPQ originated requests that lookup the cache. Including Uncacheables, Non-Coherent."	0x40	cbox	gen	core
