# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
CHA	0x11	0x04	0x00	0x00	0x00	UNC_CHA_RxC_OCCUPANCY.IPQ	Ingress (from CMS) Occupancy; IPQ	0	0x53	na	0	0	0x00
CHA	0x11	0x4	0x00	0x00	0x00	UNC_H_RxC_OCCUPANCY.IPQ	This event is deprecated. Refer to new event UNC_CHA_RxC_OCCUPANCY.IPQ	0	0x53	na	0	0	0x01
CHA	0x11	0x40	0x00	0x00	0x00	UNC_H_RxC_OCCUPANCY.RRQ	This event is deprecated. Refer to new event UNC_CHA_RxC_OCCUPANCY.RRQ	0	0x53	na	0	0	0x01
CHA	0x11	0x40	0x00	0x00	0x00	UNC_CHA_RxC_OCCUPANCY.RRQ	Ingress (from CMS) Occupancy; RRQ	0	0x53	na	0	0	0x00
CHA	0x11	0x80	0x00	0x00	0x00	UNC_H_RxC_OCCUPANCY.WBQ	This event is deprecated. Refer to new event UNC_CHA_RxC_OCCUPANCY.WBQ	0	0x53	na	0	0	0x01
CHA	0x11	0x80	0x00	0x00	0x00	UNC_CHA_RxC_OCCUPANCY.WBQ	Ingress (from CMS) Occupancy; WBQ	0	0x53	na	0	0	0x00
CHA	0x13	0x02	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.IRQ_REJ	Ingress (from CMS) Allocations; IRQ Rejected	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x04	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.IPQ	Ingress (from CMS) Allocations; IPQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x10	0x00	0x00	0x00	UNC_H_RxC_INSERTS.PRQ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.PRQ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x10	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.PRQ	Ingress (from CMS) Allocations; PRQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x2	0x00	0x00	0x00	UNC_H_RxC_INSERTS.IRQ_REJ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.IRQ_REJ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x20	0x00	0x00	0x00	UNC_H_RxC_INSERTS.PRQ_REJ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.PRQ_REJ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x20	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.PRQ_REJ	Ingress (from CMS) Allocations; PRQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x4	0x00	0x00	0x00	UNC_H_RxC_INSERTS.IPQ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.IPQ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x40	0x00	0x00	0x00	UNC_H_RxC_INSERTS.RRQ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.RRQ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x40	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.RRQ	Ingress (from CMS) Allocations; RRQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x13	0x80	0x00	0x00	0x00	UNC_H_RxC_INSERTS.WBQ	This event is deprecated. Refer to new event UNC_CHA_RxC_INSERTS.WBQ	0,1,2,3	0x53	na	0	0	0x01
CHA	0x13	0x80	0x00	0x00	0x00	UNC_CHA_RxC_INSERTS.WBQ	Ingress (from CMS) Allocations; WBQ	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x01	0x00	0x00	0x00	UNC_CHA_CORE_PMA.C1_STATE	Core PMA Events; C1  State	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x02	0x00	0x00	0x00	UNC_CHA_CORE_PMA.C1_TRANSITION	Core PMA Events; C1 Transition	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x04	0x00	0x00	0x00	UNC_CHA_CORE_PMA.C6_STATE	Core PMA Events; C6 State	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x08	0x00	0x00	0x00	UNC_CHA_CORE_PMA.C6_TRANSITION	Core PMA Events; C6 Transition	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x1	0x00	0x00	0x00	UNC_H_CORE_PMA.C1_STATE	This event is deprecated. Refer to new event UNC_CHA_CORE_PMA.C1_STATE	0,1,2,3	0x53	na	0	0	0x01
CHA	0x17	0x10	0x00	0x00	0x00	UNC_H_CORE_PMA.GV	This event is deprecated. Refer to new event UNC_CHA_CORE_PMA.GV	0,1,2,3	0x53	na	0	0	0x01
CHA	0x17	0x10	0x00	0x00	0x00	UNC_CHA_CORE_PMA.GV	Core PMA Events; GV	0,1,2,3	0x53	na	0	0	0x00
CHA	0x17	0x2	0x00	0x00	0x00	UNC_H_CORE_PMA.C1_TRANSITION	This event is deprecated. Refer to new event UNC_CHA_CORE_PMA.C1_TRANSITION	0,1,2,3	0x53	na	0	0	0x01
CHA	0x17	0x4	0x00	0x00	0x00	UNC_H_CORE_PMA.C6_STATE	This event is deprecated. Refer to new event UNC_CHA_CORE_PMA.C6_STATE	0,1,2,3	0x53	na	0	0	0x01
CHA	0x17	0x8	0x00	0x00	0x00	UNC_H_CORE_PMA.C6_TRANSITION	This event is deprecated. Refer to new event UNC_CHA_CORE_PMA.C6_TRANSITION	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x01	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.AD_REQ_VN0	Ingress (from CMS) Request Queue Rejects; AD REQ on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x02	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.AD_RSP_VN0	Ingress (from CMS) Request Queue Rejects; AD RSP on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x04	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.BL_RSP_VN0	Ingress (from CMS) Request Queue Rejects; BL RSP on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x08	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.BL_WB_VN0	Ingress (from CMS) Request Queue Rejects; BL WB on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x1	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.AD_REQ_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.AD_REQ_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x10	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.BL_NCB_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.BL_NCB_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x10	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.BL_NCB_VN0	Ingress (from CMS) Request Queue Rejects; BL NCB on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x2	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.AD_RSP_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.AD_RSP_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x20	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.BL_NCS_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.BL_NCS_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x20	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.BL_NCS_VN0	Ingress (from CMS) Request Queue Rejects; BL NCS on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x4	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.BL_RSP_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.BL_RSP_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x40	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.AK_NON_UPI	Ingress (from CMS) Request Queue Rejects; Non UPI AK Request	0,1,2,3	0x53	na	0	0	0x00
CHA	0x18	0x8	0x00	0x00	0x00	UNC_H_RxC_IRQ0_REJECT.BL_WB_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ0_REJECT.BL_WB_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x18	0x80	0x00	0x00	0x00	UNC_CHA_RxC_IRQ0_REJECT.IV_NON_UPI	Ingress (from CMS) Request Queue Rejects; Non UPI IV Request	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x02	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.HA	Ingress (from CMS) Request Queue Rejects; HA	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x04	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.LLC_VICTIM	Ingress (from CMS) Request Queue Rejects; LLC Victim	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x08	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.SF_VICTIM	Ingress (from CMS) Request Queue Rejects; SF Victim	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x1	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.ANY_REJECT_IRQ0	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.ANY0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x1	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.ANY0	Ingress (from CMS) Request Queue Rejects; ANY0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x10	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.VICTIM	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.VICTIM	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x10	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.VICTIM	Ingress (from CMS) Request Queue Rejects; Victim	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x2	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.HA	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.HA	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x20	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.LLC_OR_SF_WAY	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.LLC_OR_SF_WAY	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x20	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.LLC_OR_SF_WAY	Ingress (from CMS) Request Queue Rejects; Merging these two together to make room for ANY_REJECT_*0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x4	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.LLC_VICTIM	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.LLC_VICTIM	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x40	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.ALLOW_SNP	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.ALLOW_SNP	0,1,2,3	0x53	na	0	0	0x01
CHA	0x19	0x40	0x00	0x00	0x00	UNC_CHA_RxC_IRQ1_REJECT.ALLOW_SNP	Ingress (from CMS) Request Queue Rejects; Allow Snoop	0,1,2,3	0x53	na	0	0	0x00
CHA	0x19	0x8	0x00	0x00	0x00	UNC_H_RxC_IRQ1_REJECT.SF_VICTIM	This event is deprecated. Refer to new event UNC_CHA_RxC_IRQ1_REJECT.SF_VICTIM	0,1,2,3	0x53	na	0	0	0x01
CHA	0x1F	0x0	0x00	0x00	0x00	UNC_H_COUNTER0_OCCUPANCY	This event is deprecated. Refer to new event UNC_CHA_COUNTER0_OCCUPANCY	0,1,2,3	0x53	na	0	0	0x01
CHA	0x1F	0x00	0x00	0x00	0x00	UNC_CHA_COUNTER0_OCCUPANCY	Counter 0 Occupancy	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x01	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.AD_REQ_VN0	Ingress (from CMS) Request Queue Rejects; AD REQ on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x02	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.AD_RSP_VN0	Ingress (from CMS) Request Queue Rejects; AD RSP on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x04	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.BL_RSP_VN0	Ingress (from CMS) Request Queue Rejects; BL RSP on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x08	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.BL_WB_VN0	Ingress (from CMS) Request Queue Rejects; BL WB on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x1	0x00	0x00	0x00	UNC_H_RxC_PRQ0_REJECT.AD_REQ_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_PRQ0_REJECT.AD_REQ_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x20	0x10	0x00	0x00	0x00	UNC_H_RxC_PRQ0_REJECT.BL_NCB_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_PRQ0_REJECT.BL_NCB_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x20	0x10	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.BL_NCB_VN0	Ingress (from CMS) Request Queue Rejects; BL NCB on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x2	0x00	0x00	0x00	UNC_H_RxC_PRQ0_REJECT.AD_RSP_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_PRQ0_REJECT.AD_RSP_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x20	0x20	0x00	0x00	0x00	UNC_H_RxC_PRQ0_REJECT.BL_NCS_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_PRQ0_REJECT.BL_NCS_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x20	0x20	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.BL_NCS_VN0	Ingress (from CMS) Request Queue Rejects; BL NCS on VN0	0,1,2,3	0x53	na	0	0	0x00
CHA	0x20	0x4	0x00	0x00	0x00	UNC_H_RxC_PRQ0_REJECT.BL_RSP_VN0	This event is deprecated. Refer to new event UNC_CHA_RxC_PRQ0_REJECT.BL_RSP_VN0	0,1,2,3	0x53	na	0	0	0x01
CHA	0x20	0x40	0x00	0x00	0x00	UNC_CHA_RxC_PRQ0_REJECT.AK_NON_UPI	Ingress (from CMS) Request Queue Rejects; Non UPI AK Request	0,1,2,3	0x53	na	0	0	0x00
