# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
M3UPI	0x1	0x00	0x00	0x00	0x00	UNC_M3UPI_CLOCKTICKS	Number of uclks in domain	0,1,2	0x53	na	0	0	0x00
M3UPI	0x1C	0x01	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN0_REQ	AD Flow Q Occupancy; VN0 REQ Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x02	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN0_SNP	AD Flow Q Occupancy; VN0 SNP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x04	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN0_RSP	AD Flow Q Occupancy; VN0 RSP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x08	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN0_WB	AD Flow Q Occupancy; VN0 WB Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x10	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN1_REQ	AD Flow Q Occupancy; VN1 REQ Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x20	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN1_SNP	AD Flow Q Occupancy; VN1 SNP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1C	0x40	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_OCCUPANCY.VN1_RSP	AD Flow Q Occupancy; VN1 RSP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x01	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN0_RSP	BL Flow Q Occupancy; VN0 RSP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x02	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN0_WB	BL Flow Q Occupancy; VN0 WB Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x04	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN0_NCB	BL Flow Q Occupancy; VN0 NCB Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x08	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN0_NCS	BL Flow Q Occupancy; VN0 NCS Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x10	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN1_RSP	BL Flow Q Occupancy; VN1 RSP Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x20	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN1_WB	BL Flow Q Occupancy; VN1 WB Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x40	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN1_NCB	BL Flow Q Occupancy; VN1_NCS Messages	0	0x53	na	0	0	0x00
M3UPI	0x1D	0x80	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_OCCUPANCY.VN1_NCS	BL Flow Q Occupancy; VN1_NCB Messages	0	0x53	na	0	0	0x00
M3UPI	0x1E	0x00	0x00	0x00	0x00	UNC_M3UPI_TxC_AK_FLQ_OCCUPANCY	AK Flow Q Occupancy	0	0x53	na	0	0	0x00
M3UPI	0x20	0x1	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VNA	UPI0 AD Credits Empty; VNA	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x10	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN1_REQ	UPI0 AD Credits Empty; VN1 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x2	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN0_REQ	UPI0 AD Credits Empty; VN0 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x20	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN1_SNP	UPI0 AD Credits Empty; VN1 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x4	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN0_SNP	UPI0 AD Credits Empty; VN0 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x40	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN1_RSP	UPI0 AD Credits Empty; VN1 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x20	0x8	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_AD_CREDITS_EMPTY.VN0_RSP	UPI0 AD Credits Empty; VN0 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x01	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VNA	UPI0 BL Credits Empty; VNA	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x02	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_RSP	UPI0 BL Credits Empty; VN0 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x04	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_NCS_NCB	UPI0 BL Credits Empty; VN0 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x08	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_WB	UPI0 BL Credits Empty; VN0 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x1	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VNA	UPI0 BL Credits Empty; VNA	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x10	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN1_RSP	UPI0 BL Credits Empty; VN1 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x10	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN1_RSP	UPI0 BL Credits Empty; VN1 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x2	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_RSP	UPI0 BL Credits Empty; VN0 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x20	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN1_NCS_NCB	UPI0 BL Credits Empty; VN1 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x20	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN1_NCS_NCB	UPI0 BL Credits Empty; VN1 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x4	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_NCS_NCB	UPI0 BL Credits Empty; VN0 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x40	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN1_WB	UPI0 BL Credits Empty; VN1 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x21	0x8	0x00	0x00	0x00	UNC_M3UPI_UPI_PEER_BL_CREDITS_EMPTY.VN0_WB	UPI0 BL Credits Empty; VN0 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x22	0x01	0x00	0x00	0x00	UNC_M3UPI_CHA_AD_CREDITS_EMPTY.VNA	CBox AD Credits Empty; VNA Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x22	0x02	0x00	0x00	0x00	UNC_M3UPI_CHA_AD_CREDITS_EMPTY.WB	CBox AD Credits Empty; Writebacks	0,1,2	0x53	na	0	0	0x00
M3UPI	0x22	0x04	0x00	0x00	0x00	UNC_M3UPI_CHA_AD_CREDITS_EMPTY.REQ	CBox AD Credits Empty; Requests	0,1,2	0x53	na	0	0	0x00
M3UPI	0x22	0x08	0x00	0x00	0x00	UNC_M3UPI_CHA_AD_CREDITS_EMPTY.SNP	CBox AD Credits Empty; Snoops	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x01	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.IIO0_IIO1_NCB	M2 BL Credits Empty; IIO0 and IIO1 share the same ring destination. (1 VN0 credit only)	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x02	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.IIO2_NCB	M2 BL Credits Empty; IIO2	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x04	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.IIO3_NCB	M2 BL Credits Empty; IIO3	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x08	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.IIO4_NCB	M2 BL Credits Empty; IIO4	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x10	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.IIO5_NCB	M2 BL Credits Empty; IIO5	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x20	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.NCS	M2 BL Credits Empty; All IIO targets for NCS are in single mask. ORs them together	0,1,2	0x53	na	0	0	0x00
M3UPI	0x23	0x40	0x00	0x00	0x00	UNC_M3UPI_M2_BL_CREDITS_EMPTY.NCS_SEL	M2 BL Credits Empty; Selected M2p BL NCS credits	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x01	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN0_REQ	AD Flow Q Not Empty; VN0 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x02	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN0_SNP	AD Flow Q Not Empty; VN0 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x04	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN0_RSP	AD Flow Q Not Empty; VN0 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x08	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN0_WB	AD Flow Q Not Empty; VN0 WB Messages	0,1,2	0x53	na	0	0	0x00
