# Performance Monitoring Events for Intel Next Generation Atom-based Processors - V1.07
# 3/10/2020 11:58:06 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS	COUNTER_TYPE
M2M	0x09	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_INSERTS	AD Egress (to CMS) Allocations	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0A	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_OCCUPANCY	AD Egress (to CMS) Occupancy	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0b	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_CYCLES_NE	AD Egress (to CMS) Not Empty	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0c	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_CYCLES_FULL	AD Egress (to CMS) Full	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0d	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_CREDITS_ACQUIRED	AD Egress (to CMS) Credit Acquired	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0e	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_CREDIT_OCCUPANCY	AD Egress (to CMS) Credits Occupancy	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x0f	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_NO_CREDIT_CYCLES	Cycles with No AD Egress (to CMS) Credits	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x10	0x00	0x00	0x00	0x00	UNC_M2M_TxC_AD_NO_CREDIT_STALLED	Cycles Stalled with No AD Egress (to CMS) Credits	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x15	0x01	0x00	0x00	0x00	UNC_M2M_TxC_BL_INSERTS.CMS0	BL Egress (to CMS) Allocations : Common Mesh Stop - Near Side	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
M2M	0x15	0x02	0x00	0x00	0x00	UNC_M2M_TxC_BL_INSERTS.CMS1	BL Egress (to CMS) Allocations : Common Mesh Stop - Far Side	0,1,2,3	0x53	na	0	0	0x00	PGMABLE
